codigo,ciencias_notas_10,ciencias_sociales_notas_10,disciplina_notas_10,espaniol_notas_10,fisica_notas_10,geometria_notas_10,ingles_notas_10,matematicas_notas_10,social_studies_notas_10,math_psat,reading_and_writing_psat,matematicas_saber_11
20042003,80.0,81.25,97.0,82.75,73.0,81.0,98.75,78.75,86.25,420,490,1
20042015,89.0,89.75,98.75,84.0,75.25,72.25,99.0,87.75,89.0,460,450,0
20042030,91.25,96.75,99.75,86.0,88.0,91.0,99.25,98.25,90.75,440,480,0
20042034,83.5,85.25,95.5,89.75,79.0,85.25,86.0,79.75,91.25,490,520,0
20042049,80.0,78.75,81.5,77.75,79.75,83.5,92.25,87.0,73.0,580,500,1
20052001,92.0,91.5,98.25,93.75,87.75,92.75,92.0,96.0,93.0,530,610,1
20052005,76.75,77.0,87.0,71.75,74.5,89.5,81.5,76.75,89.25,520,550,1
20052008,75.25,77.5,83.25,79.75,72.25,81.75,77.0,75.75,82.75,490,340,1
20052011,88.0,85.75,97.75,95.25,77.5,82.25,100.0,77.5,95.25,510,580,1
20052012,75.5,79.0,90.0,76.5,72.25,72.25,92.0,75.75,78.75,480,500,0
20052013,99.5,95.75,97.25,99.75,93.25,98.5,93.5,96.5,97.25,480,540,1
20052016,80.25,79.75,94.0,79.25,79.5,84.0,82.0,75.75,80.25,530,530,1
20052017,69.75,72.0,83.5,66.75,76.25,71.75,67.5,68.75,80.25,360,360,0
20052018,100.0,98.0,98.5,99.0,93.25,99.5,94.0,98.0,98.25,560,540,1
20052020,82.5,89.75,98.75,89.5,76.75,81.75,89.5,79.75,83.25,440,450,1
20052021,78.25,83.25,82.25,79.0,73.25,76.25,70.75,78.0,75.5,400,480,0
20052023,91.5,93.0,98.5,95.0,85.0,88.0,98.0,86.75,93.0,470,470,1
20052024,97.75,92.25,99.25,83.5,86.5,98.25,90.0,98.5,92.5,480,560,1
20052025,100.0,95.25,99.25,93.25,93.75,98.75,92.0,100.0,94.25,530,480,1
20052028,99.75,88.25,92.5,88.75,83.0,87.25,85.0,90.0,92.25,540,530,1
20052029,97.5,93.5,97.5,91.0,88.0,94.25,84.5,97.75,92.25,510,530,1
20052031,79.75,82.0,90.25,77.75,74.75,86.75,96.0,76.0,87.0,430,480,1
20052032,97.75,91.5,97.75,91.25,85.0,94.5,83.75,95.25,93.5,480,590,1
20052033,97.25,90.75,95.5,95.5,81.75,90.75,90.5,92.0,90.75,530,480,1
20052034,82.0,86.75,92.25,83.5,77.5,83.25,99.0,82.5,86.5,470,530,1
20052035,99.75,93.5,98.75,94.5,83.25,96.25,92.75,89.75,92.0,510,480,1
20052036,100.0,98.0,99.25,97.5,92.5,99.5,93.75,94.75,97.75,510,620,1
20052037,87.0,85.75,94.75,79.75,77.5,85.75,86.5,86.25,87.0,480,470,1
20052038,94.0,94.75,99.25,90.75,90.75,95.5,94.5,100.0,94.0,550,560,1
20052039,92.5,96.25,99.25,83.75,88.5,93.75,92.0,97.75,91.25,530,450,1
20052040,87.75,91.25,99.0,87.0,81.5,82.25,90.5,87.25,93.25,490,550,1
20052041,85.0,91.75,98.0,84.0,80.0,81.0,85.75,82.25,86.5,460,520,1
20052043,86.75,90.5,91.0,88.5,85.5,95.0,100.0,92.75,89.25,520,580,1
20052044,97.75,92.5,95.25,90.75,89.75,99.0,88.75,99.0,93.0,480,610,1
20052045,78.75,88.75,90.5,84.25,78.0,78.0,79.5,85.0,87.5,560,570,1
20052068,92.0,90.0,89.0,87.0,86.25,96.75,88.5,96.25,90.25,490,440,1
20052072,89.25,82.75,97.75,77.5,73.25,73.5,97.75,78.75,85.25,450,430,1
20052092,92.0,91.5,99.5,92.25,88.75,93.25,93.75,99.25,91.5,540,520,1
20062001,83.25,85.75,94.0,84.0,74.0,81.25,85.5,79.0,82.0,440,500,1
20062002,99.25,96.25,99.0,95.75,91.25,90.25,98.25,97.5,94.75,520,440,1
20062004,80.5,83.75,96.0,78.5,73.75,84.25,91.25,76.25,81.75,430,390,1
20062005,75.0,72.25,70.0,72.5,84.25,82.0,75.25,77.0,74.25,420,350,1
20062006,96.5,87.0,96.0,85.75,90.25,90.75,92.75,93.25,87.5,440,430,1
20062007,82.25,79.75,94.25,78.0,71.5,80.75,89.25,74.5,75.75,380,340,1
20062008,94.5,89.0,96.75,85.0,87.25,95.25,87.75,88.5,87.75,400,380,0
20062010,86.25,82.25,92.25,79.25,82.75,84.25,83.5,83.5,84.75,410,430,0
20062011,91.5,85.0,93.25,81.75,82.25,83.75,92.5,80.75,82.5,450,390,0
20062012,99.5,97.25,99.5,96.5,95.25,99.5,100.0,100.0,97.0,490,540,1
20062013,82.5,86.75,86.0,77.75,77.0,85.5,80.75,81.5,75.75,380,350,1
20062014,82.25,89.25,93.75,78.75,82.0,79.0,83.75,75.0,81.5,370,370,0
20062015,93.25,93.75,100.0,94.0,84.75,97.75,98.75,95.75,92.25,450,540,1
20062017,71.75,80.75,85.25,71.5,75.0,81.5,71.25,83.25,79.25,430,410,1
20062018,100.0,97.75,99.75,91.5,93.5,99.25,100.0,99.25,96.25,540,660,1
20062019,87.5,85.5,91.25,82.25,78.25,88.75,91.75,89.25,86.25,460,390,1
20062020,83.0,79.0,93.0,80.0,73.0,83.25,96.25,76.5,87.75,470,410,0
20062021,93.0,85.0,97.5,84.75,86.0,86.5,93.0,92.25,87.5,480,370,1
20062022,98.25,96.5,96.5,95.0,87.5,93.0,98.75,98.75,94.75,480,510,1
20062024,84.0,84.0,80.75,75.5,81.25,79.0,77.0,74.75,75.5,340,380,1
20062025,94.25,89.75,97.75,86.75,84.5,94.75,93.5,91.0,93.0,450,440,1
20062028,69.5,72.5,77.25,66.75,69.75,72.25,65.0,66.0,68.75,430,410,0
20062029,98.5,97.0,97.0,86.5,89.5,93.0,86.5,82.25,85.25,400,410,1
20062030,74.25,82.25,84.75,78.5,72.25,88.25,79.0,73.75,78.5,440,420,1
20062031,94.75,89.75,99.5,87.0,83.0,95.0,94.0,98.5,90.75,380,420,1
20062032,88.0,83.75,84.0,77.0,91.5,93.5,78.75,91.75,80.5,550,520,1
20062033,89.0,82.5,95.0,84.75,78.25,86.5,88.25,78.25,86.75,430,530,1
20062034,92.0,90.5,97.75,87.75,82.25,94.25,96.25,96.75,89.75,510,460,1
20062037,95.0,87.0,96.75,83.25,84.25,91.5,94.25,80.75,90.5,440,460,1
20062053,96.5,88.25,100.0,98.5,82.25,97.0,99.5,98.25,95.0,500,590,1
20062073,74.0,83.75,94.25,77.0,72.75,84.75,81.75,84.0,81.25,450,320,0
20062087,100.0,96.5,99.5,98.5,93.5,100.0,100.0,100.0,96.75,560,630,1
20062138,100.0,96.5,100.0,94.5,89.5,96.5,92.5,100.0,94.25,590,570,1
20062139,87.25,86.5,97.5,78.5,75.0,77.5,96.75,77.75,92.5,560,540,1
20062140,78.5,83.0,97.25,83.5,77.25,79.0,84.5,80.0,84.5,510,440,1
20062141,96.0,92.25,97.0,81.75,83.25,96.0,82.25,95.0,93.0,530,510,1
20062142,87.25,78.25,80.0,75.0,78.75,75.5,97.75,83.25,78.0,500,560,1
20062143,100.0,99.25,99.25,94.75,95.5,100.0,96.0,100.0,98.5,570,570,1
20062144,79.75,88.75,91.0,81.0,78.25,70.75,99.25,80.25,92.0,530,590,1
20062193,80.0,79.5,96.75,72.75,80.5,71.75,73.75,78.5,75.25,270,350,0
20062194,88.0,89.0,96.75,91.25,74.75,86.25,88.0,78.25,92.25,490,580,1
20072001,84.25,84.75,87.5,83.5,77.75,90.0,86.25,85.5,88.0,450,390,1
20072002,81.25,83.25,90.25,84.75,81.75,82.0,92.0,76.0,88.5,500,640,1
20072003,97.5,96.75,95.75,96.5,92.75,98.5,95.0,98.25,97.5,580,590,1
20072004,77.0,73.0,86.25,76.25,72.5,81.0,71.5,77.25,81.0,360,500,0
20072005,88.0,83.5,85.0,82.5,82.25,86.25,83.75,83.0,85.0,460,470,1
20072007,71.0,74.0,89.75,77.25,71.0,69.5,70.0,69.5,72.5,450,440,1
20072008,83.25,94.25,98.0,89.75,86.25,92.0,95.25,95.75,97.0,510,410,1
20072009,97.5,92.25,98.75,91.0,88.5,94.5,98.25,99.0,95.25,520,570,1
20072010,81.25,85.5,91.75,81.75,76.0,90.5,83.0,81.75,79.0,470,410,1
20072011,89.5,84.0,92.0,81.25,90.25,93.0,88.75,88.0,79.0,500,520,1
20072013,93.25,94.5,98.75,92.25,83.5,92.0,97.5,87.75,96.25,410,460,1
20072014,84.5,86.0,93.75,81.0,79.75,92.5,84.75,84.75,84.75,460,470,1
20072015,97.75,91.5,96.5,92.0,94.0,97.75,92.5,97.75,96.25,500,610,1
20072016,96.25,86.5,93.75,86.75,92.0,95.5,91.5,97.75,91.0,500,530,1
20072017,94.5,89.75,95.25,91.75,91.25,95.5,89.5,91.0,91.25,450,410,1
20072018,88.75,86.0,92.75,87.25,85.75,86.5,89.25,87.0,89.5,500,550,1
20072019,94.5,94.75,99.0,93.25,94.75,98.25,98.0,100.0,98.5,490,500,1
20072020,87.75,85.0,93.0,85.5,80.0,88.75,90.5,88.5,93.75,430,480,1
20072021,86.25,87.25,93.5,80.5,84.0,93.0,78.25,87.75,86.0,450,420,1
20072022,89.75,93.0,96.25,89.5,90.5,94.0,97.75,92.75,95.25,470,510,1
20072024,91.25,87.5,97.75,86.75,85.25,99.5,100.0,99.25,94.0,650,690,1
20072026,90.75,88.25,95.75,83.75,91.0,91.5,97.75,94.5,92.25,490,500,1
20072050,90.5,87.5,91.25,79.5,81.75,87.0,81.0,85.25,79.5,430,530,1
20072052,97.25,94.25,99.25,86.25,88.25,97.0,98.5,100.0,98.25,530,590,1
20072053,88.25,91.75,94.5,82.0,80.5,79.75,83.25,84.75,89.5,430,410,1
20072054,88.5,87.75,95.0,81.75,86.25,84.25,89.75,94.0,87.5,480,410,1
20072058,89.75,91.75,91.75,81.0,84.0,96.25,87.25,89.25,92.5,500,480,1
20072062,88.75,88.0,94.0,85.75,81.75,77.25,87.75,86.75,90.0,440,420,1
20072063,79.25,83.5,93.0,85.75,74.0,89.75,81.25,89.5,78.75,500,460,1
20072128,91.25,94.5,99.75,88.25,72.25,84.75,97.5,82.25,86.0,480,560,1
20072129,73.75,80.5,89.5,74.5,72.5,73.5,69.5,77.25,71.5,430,420,0
20072130,88.0,88.75,88.5,83.5,85.75,86.75,92.75,89.0,89.5,450,460,1
20072132,98.75,96.75,96.75,92.0,93.75,95.75,100.0,100.0,97.0,530,530,1
20072136,89.25,92.0,99.75,86.75,74.5,85.0,93.0,86.25,90.5,440,480,1
20072137,87.75,83.75,99.75,86.75,75.0,79.25,93.75,70.5,87.25,460,600,1
20072138,98.5,95.0,99.25,97.0,90.5,99.25,100.0,100.0,95.5,520,540,1
20072139,86.5,75.5,94.25,73.75,73.0,87.0,75.0,80.25,76.75,480,390,1
20072140,91.5,84.0,94.5,83.5,84.25,90.5,90.25,93.5,87.5,500,510,1
20072157,94.0,96.0,99.0,85.5,78.75,93.0,91.25,90.75,92.75,450,460,1
20072160,96.75,89.5,93.25,90.25,89.5,95.25,96.5,89.5,92.25,540,450,1
20072249,90.5,95.25,98.25,82.25,88.5,95.25,100.0,100.0,91.25,530,490,1
20072261,82.75,79.25,81.5,73.25,73.0,77.5,92.25,78.75,77.0,490,500,0
20072268,77.75,79.75,96.0,87.25,84.25,94.25,81.5,81.5,76.5,500,440,1
20082131,92.75,94.5,98.75,90.5,94.0,97.0,99.0,98.0,96.25,480,540,1
20082132,95.75,94.0,96.5,94.5,89.0,96.0,96.0,96.75,98.0,490,630,1
20082133,77.5,86.5,93.25,88.25,76.75,91.25,84.75,79.25,91.25,470,490,1
20082134,90.5,88.25,97.25,80.75,75.25,82.75,97.5,89.0,92.0,450,530,1
20082135,90.25,81.0,88.25,83.5,82.5,78.25,84.0,85.0,80.0,520,550,1
20082138,67.25,71.0,88.25,74.75,78.0,75.0,78.25,80.75,75.25,450,370,1
20082141,89.25,89.5,89.0,80.25,82.75,88.5,97.5,80.0,91.5,470,700,1
20082142,99.75,92.5,96.75,91.25,86.0,95.25,99.25,94.25,92.25,530,570,1
20082143,81.25,89.5,95.75,87.25,81.0,88.75,89.75,89.0,94.25,450,470,1
20082154,72.0,79.5,91.75,83.75,77.0,86.75,95.75,74.5,85.25,490,500,0
20082156,82.5,83.25,89.25,80.0,77.25,76.75,80.5,83.75,90.25,410,420,0
20082157,77.0,79.75,88.75,73.25,76.0,83.25,73.0,81.0,74.0,470,430,1
20082159,82.25,86.0,91.25,79.75,77.0,74.25,85.25,91.0,81.5,430,520,1
20082172,92.0,94.0,97.25,89.75,86.75,93.25,98.75,92.5,91.75,470,560,1
20082174,90.5,88.5,96.25,86.75,78.75,76.75,89.5,93.5,87.25,360,390,1
20082245,94.25,96.5,99.25,90.5,84.5,97.0,94.0,99.0,90.25,540,450,1
20082301,83.0,86.25,84.5,79.25,77.0,81.5,79.25,81.5,78.0,480,430,1
20090158,88.75,88.5,93.5,90.75,84.5,91.75,100.0,88.5,91.25,480,500,1
20092236,86.5,84.25,94.75,85.5,79.75,86.5,99.0,87.0,87.25,520,570,1
20092256,92.25,90.5,95.5,95.0,89.0,95.75,92.5,95.75,95.75,500,550,1
20092269,88.75,82.0,91.25,81.0,77.75,90.5,82.5,79.75,85.0,480,500,1
20092272,96.5,83.5,91.0,79.25,81.75,89.5,93.5,82.25,87.25,430,520,0
20092280,73.25,65.0,88.0,81.0,65.75,69.25,67.75,63.0,60.5,340,320,0
20092355,87.5,93.5,98.5,84.75,78.75,84.25,87.5,83.5,86.25,380,380,0
20092374,89.0,83.0,98.5,82.25,73.5,88.0,96.0,80.75,85.75,400,470,0
20100277,100.0,96.25,95.25,93.5,93.75,98.75,90.25,99.75,96.75,570,560,1
20102278,97.75,93.5,96.75,96.5,89.5,89.75,99.5,96.25,94.0,500,530,1
20102301,87.75,83.0,88.75,82.5,78.25,85.5,86.0,77.25,77.25,450,430,1
20112302,73.25,78.25,86.5,75.25,80.0,81.75,79.25,75.25,69.25,430,360,1
20120084,98.25,96.5,100.0,96.25,87.25,93.0,100.0,97.5,95.25,540,590,1
20120092,99.75,93.25,99.0,97.75,80.0,95.0,100.0,91.25,96.0,480,510,1
20120097,92.25,91.5,96.5,93.0,89.25,93.0,89.25,97.0,92.0,480,500,1
20120105,93.5,89.0,96.25,88.25,87.25,86.25,98.5,95.0,92.0,520,650,1
20130063,89.25,87.5,96.25,93.0,84.75,95.25,90.5,91.75,91.75,470,440,1
20130078,90.75,93.0,99.75,84.25,79.5,85.5,99.75,98.75,93.75,460,560,1
20150365,90.75,92.0,99.75,86.25,76.0,77.75,89.25,83.25,86.75,420,530,0
20150366,82.75,76.75,98.75,75.75,76.5,76.0,80.0,69.5,91.25,400,360,0
20150375,82.5,82.75,90.5,80.0,73.0,75.75,83.5,83.0,83.25,460,490,1
20161097,79.75,86.0,91.5,82.75,78.0,81.25,84.5,77.0,88.75,440,470,1
20161101,92.0,94.25,98.75,97.5,80.5,93.5,91.75,88.5,92.0,420,430,1
20161132,77.75,86.25,88.75,89.5,73.5,77.75,78.25,74.75,89.0,470,430,1
20170173,76.0,82.75,82.75,81.25,74.25,79.0,71.75,71.5,80.5,400,500,1
20181181,99.75,98.0,99.5,97.75,94.25,99.25,100.0,100.0,97.0,620,710,1
20181195,91.5,75.25,94.0,80.5,77.0,82.5,89.75,74.25,87.5,450,490,0
20181206,97.25,95.75,98.5,93.75,92.25,97.0,99.25,95.25,99.25,500,640,1
20181207,95.0,83.75,95.25,82.75,80.25,90.25,99.5,91.25,93.0,470,660,1
20181208,87.25,83.75,95.25,86.5,79.25,73.75,95.5,86.0,84.0,450,470,1
20191098,95.0,86.75,96.5,94.5,84.75,92.0,90.0,97.75,97.5,480,470,1
20191189,88.75,84.75,95.0,89.0,89.5,95.0,87.0,97.5,84.0,470,400,1
20191192,98.0,93.75,93.25,92.0,88.75,95.5,99.5,99.0,96.5,540,580,1
